ID,Name,Tags,Faculty,School,CourseOutline,Campus,Career,UoC,EFTSL,ICHPW,Prereq,Excluded,CSSCC,GenEd,Description,,,,Enjoy,Difficult,Skip
COMP9318,Data Warehousing and Data Mining,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9318'>www.cse.unsw.edu.au/~cs9318</a>,Sydney,Undergraduate,6,0.125,3,"COMP1927 or COMP2521, and COMP3311",,2,,,,,,,,,
COMP9319,Web Data Compression and Search,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9319'>www.cse.unsw.edu.au/~cs9319</a>,Sydney,Undergraduate,6,0.125,5,COMP2521 or COMP1927,,2,,,,,,,,,
COMP9321,Web Applications Engineering,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9321'>www.cse.unsw.edu.au/~cs9321</a>,Sydney,Undergraduate,6,0.125,3,"COMP1531 and COMP2041, or (COMP3311, and COMP2911 or COMP2511)",,2,,,,,,,,,
COMP9322,Service-Oriented Architectures,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9322'>www.cse.unsw.edu.au/~cs9322</a>,Sydney,Undergraduate,6,0.125,3,COMP9321.,,2,,,,,,,,,
COMP9323,e-Enterprise Project,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9323'>www.cse.unsw.edu.au/~cs9323</a>,Sydney,Undergraduate,6,0.125,3,,,2,,,,,,,,,
COMP9331,Computer Networks and Applications,,,,,,,,,,,,,,,,,,,,
COMP9334,Capacity Planning of Computer Systems and Networks,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9334'>www.cse.unsw.edu.au/~cs9334</a>,Sydney,Undergraduate,6,0.125,3,COMP1511 or COMP1917 or COMP1921,,2,,,,,,,,,
COMP9336,Mobile Data Networking,,,,,,,,,,,,,,,,,,,,
COMP9337,Securing Wireless Networks,,,,,,,,,,,,,,,,,,,,
COMP9414,Artificial Intelligence,,,,,,,,,,,,,,,,,,,,
COMP9415,Computer Graphics,,,,,,,,,,,,,,,,,,,,
COMP9417,Machine Learning and Data Mining,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9417'>www.cse.unsw.edu.au/~cs9417</a>,Sydney,Undergraduate,6,0.125,3,COMP1927,,2,,,,,,,,,
COMP9418,Advanced Topics in Statistical Machine Learning,,,,,,,,,,,,,,,,,,,,
COMP9431,Robotic Software Architecture,,,,,,,,,,,,,,,,,,,,
COMP9444,Neural Networks and Deep Learning,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9444'>www.cse.unsw.edu.au/~cs9444</a>,Sydney,Undergraduate,6,0.125,3,COMP1927 or COMP2521 or MTRN3500,COMP9844,2,,,,,,,,,
COMP9447,Security Engineering Workshop,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""","<a href=http://www.cse.unsw.edu.au/~cs9447"">http://www.cse.unsw.edu.au/~cs9447</a>""",Sydney,Undergraduate,6,0.125,4,COMP6441 or COMP6841 or COMP3441,COMP6447,2,,,,,,,,,
COMP9511,Human Computer Interaction,,,,,,,,,,,,,,,,,,,,
COMP9517,Computer Vision,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs9517'>www.cse.unsw.edu.au/~cs9517</a>,Sydney,Undergraduate,6,0.125,3,COMP2521 or COMP1927,,2,,,,,,,,,
COMP9596,Research Project,,,,,,,,,,,,,,,,,,,,
COMP9801,Extended Design &amp; Analysis of Algorithms,,,,,,,,,,,,,,,,,,,,
COMP9814,Extended Artificial Intelligence,,,,,,,,,,,,,,,,,,,,
COMP9900,Information Technology Project,,,,,,,,,,,,,,,,,,,,
COMP9945,Research Project,,,,,,,,,,,,,,,,,,,,
