ID,Name,Tags,Faculty,School,CourseOutline,Campus,Career,UoC,EFTSL,ICHPW,Prereq,Excluded,CSSCC,GenEd,Description,,,,Enjoy,Difficult,Skip
COMP3151,Foundations of Concurrency,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3151'>www.cse.unsw.edu.au/~cs3151</a>,Sydney,Undergraduate,6,0.125,5,"COMP1927, or COMP1521 and COMP2521",COMP9151,2,,,,,,,,,
COMP3153,Algorithmic Verification,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3153'>www.cse.unsw.edu.au/~cs3153</a>,Sydney,Undergraduate,6,0.125,3,"COMP2521, or a mark of at least 65 in COMP1927, or a mark of at least 75 in COMP1921",,2,,,,,,,,,
COMP3161,Concepts of Programming Languages,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3161'>www.cse.unsw.edu.au/~cs3161</a>,Sydney,Undergraduate,6,0.125,3,COMP2521 or COMP1927,COMP9161,2,,,,,,,,,
COMP3211,Computer Architecture,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3211'>www.cse.unsw.edu.au/~cs3211</a>,Sydney,Undergraduate,6,0.125,5,COMP3222 or ELEC2141.,,2,,,,,,,,,
COMP3222,Digital Circuits and Systems,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3222'>www.cse.unsw.edu.au/~cs3222</a>,Sydney,Undergraduate,6,0.125,5,"COMP2121, or (ELEC1111 or ELEC1112, and COMP1521 or COMP1927)",ELEC2141,2,,,,,,,,,
COMP3231,Operating Systems,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3231'>www.cse.unsw.edu.au/~cs3231</a>,Sydney,Undergraduate,6,0.125,5,"COMP1521 or COMP2121, and COMP2521 or COMP1927",,2,,,,,,,,,
COMP3311,Database Systems,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3311'>www.cse.unsw.edu.au/~cs3311</a>,Sydney,Undergraduate,6,0.125,5,COMP1531 or COMP1927,"COMP9311, INFS5992",2,,,,,,,,,
COMP3331,Computer Networks and Applications,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3331'>www.cse.unsw.edu.au/~cs3331</a>,Sydney,Undergraduate,6,0.125,5,"COMP1921 or COMP1927 or MTRN3500, or (COMP1521, and COMP2521 or MTRN3500)",,2,,,,,,,,,
COMP3411,Artificial Intelligence,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3411'>www.cse.unsw.edu.au/~cs3411</a>,Sydney,Undergraduate,6,0.125,4,COMP2521 or COMP1927,"COMP9414, COMP9814",2,,,,,,,,,
COMP3421,Computer Graphics,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs3421'>www.cse.unsw.edu.au/~cs3421</a>,Sydney,Undergraduate,6,0.125,5,COMP2511 or COMP2911,,2,,,,,,,,,
